# q/kF, 1/epsilon(ThomasFermi), 1/epsilon(Lindhard)
0.01 5.01812798735e-05 5.01816980355e-05
0.06 0.00180335875568 0.00180389904675
0.11 0.00603559002881 0.00604164892418
0.16 0.012684099045 0.0127109060583
0.21 0.0216518761277 0.0217301785437
0.26 0.0328111538508 0.0329915200659
0.31 0.0460078275544 0.0463637612255
0.36 0.0610665441566 0.0616962855996
0.41 0.0777961610996 0.0788231576065
0.46 0.0959952818954 0.0975674058115
0.51 0.115457602291 0.117745275804
0.56 0.135976845779 0.139170288703
0.61 0.1573511222 0.161656971373
0.66 0.1793866016 0.185024158942
0.71 0.201900451583 0.209097805804
0.76 0.224723035473 0.233713275009
0.81 0.247699408217 0.258717105663
0.86 0.270690175769 0.283968282362
0.91 0.293571802076 0.309339049142
0.96 0.316236456752 0.334715323068
1.01 0.338591497872 0.359996769985
1.06 0.360558679834 0.385096607905
1.11 0.382073167895 0.409941203225
1.16 0.403082430297 0.434469522417
1.21 0.423545067295 0.458632498205
1.26 0.443429624819 0.482392365718
1.31 0.462713429636 0.505722021722
1.36 0.481381473216 0.528604460342
1.41 0.499425363152 0.551032343514
1.46 0.516842354111 0.573007776867
1.51 0.533634464721 0.594542387176
1.56 0.549807682532 0.615657846352
1.61 0.56537125595 0.63638708017
1.66 0.580337069778 0.656776583826
1.71 0.59471909941 0.67689065062
1.76 0.608532937808 0.696819191573
1.81 0.621795388871 0.716693036846
1.86 0.634524120665 0.736717191684
1.91 0.646737372081 0.757257385984
1.96 0.658453706759 0.779160040783
2.01 0.669691808496 0.806946481009
2.06 0.680470312807 0.829509010744
2.11 0.690807669779 0.847179894595
2.16 0.70072203386 0.862106134466
2.21 0.710231176678 0.875021608799
2.26 0.719352419449 0.886339341419
2.31 0.728102581946 0.896337259691
2.36 0.736497945393 0.905220433232
2.41 0.744554226984 0.913148564467
2.46 0.752286564047 0.920250345025
2.51 0.759709506167 0.92663187648
2.56 0.766837013787 0.932382052202
2.61 0.773682462073 0.937576229225
2.66 0.780258648971 0.94227886292
2.71 0.786577806577 0.946545472775
2.76 0.792651615068 0.950424154405
2.81 0.798491218579 0.953956770529
2.86 0.80410724248 0.957179906801
2.91 0.809509811654 0.960125650405
2.96 0.814708569383 0.96282223189
3.01 0.819712696585 0.96529455942
3.06 0.824530931137 0.967564667026
3.11 0.829171587107 0.969652093234
3.16 0.833642573743 0.971574202697
3.21 0.83795141409 0.973346460736
3.26 0.842105263158 0.974982668699
3.31 0.846110925551 0.97649516648
3.36 0.849974872527 0.97789500738
3.41 0.853703258442 0.979192109546
3.46 0.857301936549 0.980395387493
3.51 0.860776474164 0.981512866636
3.56 0.864132167166 0.982551783249
3.61 0.867374053854 0.983518671929
3.66 0.870506928164 0.984419442272
3.71 0.873535352253 0.985259446238
3.76 0.876463668474 0.986043537447
3.81 0.879296010758 0.986776123478
3.86 0.882036315416 0.987461212064
3.91 0.884688331397 0.988102451982
3.96 0.887255630005 0.9887031693
4.01 0.889741614113 0.989266399557
4.06 0.892149526893 0.98979491638
4.11 0.894482460077 0.990291256979
4.16 0.896743361777 0.990757744877
4.21 0.89893504389 0.991196510216
4.26 0.901060189099 0.991609507925
4.31 0.903121357495 0.991998533983
4.36 0.905120992845 0.992365240015
4.41 0.907061428516 0.992711146387
4.46 0.90894489308 0.993037653994
4.51 0.910773515607 0.993346054862
4.56 0.912549330683 0.993637541705
4.61 0.914274283145 0.993913216556
4.66 0.915950232566 0.994174098554
4.71 0.917578957491 0.994421130995
4.76 0.919162159449 0.994655187713
4.81 0.920701466745 0.994877078863
4.86 0.922198438054 0.995087556171
4.91 0.923654565813 0.995287317697
4.96 0.925071279439 0.995477012173
5.01 0.926449948372 0.995657242945
5.06 0.927791884955 0.995828571565
5.11 0.929098347167 0.995991521071
5.16 0.930370541201 0.996146578973
5.21 0.93160962392 0.996294199988
5.26 0.932816705172 0.996434808537
5.31 0.933992849991 0.996568801027
5.36 0.935139080683 0.996696547952
5.41 0.936256378801 0.996818395804
5.46 0.937345687018 0.99693466884
5.51 0.938407910913 0.997045670696
5.56 0.93944392065 0.997151685872
5.61 0.940454552586 0.997252981103
5.66 0.941440610786 0.997349806608
5.71 0.942402868475 0.997442397257
5.76 0.943342069404 0.997530973634
5.81 0.944258929152 0.997615743023
5.86 0.94515413637 0.997696900317
5.91 0.946028353955 0.997774628858
5.96 0.946882220168 0.997849101214
6.01 0.947716349702 0.997920479893
6.06 0.948531334691 0.997988918015
6.11 0.949327745677 0.998054559921
6.16 0.950106132526 0.998117541745
6.21 0.9508670253 0.998177991947
6.26 0.95161093509 0.998236031799
6.31 0.952338354807 0.998291775846
6.36 0.953049759939 0.998345332323
6.41 0.953745609265 0.998396803557
6.46 0.954426345548 0.998446286326
6.51 0.955092396182 0.998493872206
6.56 0.955744173819 0.998539647884
6.61 0.956382076961 0.998583695458
6.66 0.957006490533 0.998626092709
6.71 0.957617786418 0.998666913362
6.76 0.958216323978 0.998706227325
6.81 0.958802450548 0.998744100911
6.86 0.959376501905 0.998780597052
6.91 0.959938802723 0.998815775491
6.96 0.960489666997 0.998849692967
7.01 0.961029398463 0.998882403389
7.06 0.961558290984 0.998913957991
7.11 0.962076628932 0.998944405488
7.16 0.962584687544 0.998973792211
7.21 0.963082733268 0.999002162247
7.26 0.963571024094 0.999029557554
7.31 0.964049809869 0.999056018086
7.36 0.964519332595 0.999081581894
7.41 0.964979826725 0.999106285235
7.46 0.965431519435 0.999130162665
7.51 0.965874630894 0.999153247131
7.56 0.966309374513 0.999175570054
7.61 0.966735957192 0.999197161412
7.66 0.967154579556 0.999218049815
7.71 0.967565436174 0.999238262572
7.76 0.967968715779 0.999257825764
7.81 0.968364601471 0.999276764304
7.86 0.968753270916 0.999295101995
7.91 0.969134896537 0.999312861588
7.96 0.969509645696 0.999330064834
8.01 0.969877680868 0.999346732537
8.06 0.97023915981 0.999362884595
8.11 0.970594235722 0.999378540051
8.16 0.970943057404 0.999393717129
8.21 0.971285769404 0.999408433279
8.26 0.971622512159 0.999422705212
8.31 0.971953422139 0.999436548936
8.36 0.972278631972 0.999449979788
8.41 0.972598270577 0.99946301247
8.46 0.972912463285 0.999475661073
8.51 0.973221331955 0.999487939113
8.56 0.973524995092 0.999499859552
8.61 0.973823567951 0.999511434824
8.66 0.974117162646 0.999522676865
8.71 0.974405888248 0.999533597129
8.76 0.974689850886 0.999544206613
8.81 0.97496915384 0.99955451588
8.86 0.975243897629 0.999564535074
8.91 0.9755141801 0.999574273942
8.96 0.975780096513 0.99958374185
9.01 0.97604173962 0.999592947801
9.06 0.976299199745 0.999601900452
9.11 0.976552564856 0.999610608127
9.16 0.976801920644 0.999619078831
9.21 0.977047350584 0.999627320266
9.26 0.97728893601 0.999635339846
9.31 0.977526756178 0.999643144702
9.36 0.977760888326 0.999650741702
9.41 0.977991407739 0.999658137459
9.46 0.978218387805 0.99966533834
9.51 0.978441900073 0.999672350479
9.56 0.978662014306 0.999679179785
9.61 0.978878798534 0.999685831954
9.66 0.979092319109 0.999692312474
9.71 0.979302640746 0.999698626636
9.76 0.979509826579 0.999704779542
9.81 0.979713938202 0.999710776112
9.86 0.979915035715 0.999716621092
9.91 0.980113177767 0.999722319061
9.96 0.980308421598 0.999727874435
10.01 0.980500823077 0.99973329148
10.06 0.980690436743 0.999738574309
10.11 0.980877315843 0.999743726896
10.16 0.981061512366 0.999748753079
10.21 0.981243077079 0.999753656562
10.26 0.981422059565 0.999758440924
10.31 0.981598508248 0.999763109624
10.36 0.981772470432 0.999767666002
10.41 0.981943992329 0.999772113288
10.46 0.982113119088 0.999776454603
10.51 0.982279894827 0.999780692965
10.56 0.982444362657 0.999784831291
10.61 0.982606564714 0.999788872404
10.66 0.98276654218 0.999792819031
10.71 0.982924335313 0.999796673813
10.76 0.983079983468 0.999800439306
10.81 0.983233525125 0.999804117979
10.86 0.983384997908 0.999807712227
10.91 0.983534438612 0.999811224365
10.96 0.98368188322 0.999814656634
11.01 0.983827366927 0.999818011206
11.06 0.983970924161 0.999821290183
11.11 0.984112588601 0.9998244956
11.16 0.984252393199 0.999827629431
11.21 0.984390370194 0.999830693587
11.26 0.984526551135 0.999833689919
11.31 0.984660966898 0.999836620221
11.36 0.984793647699 0.999839486233
11.41 0.984924623116 0.999842289641
11.46 0.985053922101 0.99984503208
11.51 0.985181572999 0.999847715135
11.56 0.98530760356 0.999850340343
11.61 0.985432040956 0.999852909194
11.66 0.985554911796 0.999855423137
11.71 0.985676242135 0.999857883572
11.76 0.985796057496 0.999860291862
11.81 0.985914382874 0.999862649329
11.86 0.986031242754 0.999864957254
11.91 0.986146661126 0.999867216881
11.96 0.986260661488 0.999869429421
12.01 0.986373266869 0.999871596045
12.06 0.986484499829 0.999873717893
12.11 0.98659438248 0.999875796071
12.16 0.986702936491 0.999877831654
12.21 0.986810183101 0.999879825686
12.26 0.986916143126 0.99988177918
12.31 0.987020836973 0.999883693123
12.36 0.987124284649 0.999885568471
12.41 0.987226505766 0.999887406156
12.46 0.987327519555 0.999889207082
12.51 0.987427344874 0.999890972127
12.56 0.987526000215 0.999892702147
12.61 0.987623503713 0.999894397973
12.66 0.987719873155 0.999896060413
12.71 0.987815125986 0.999897690254
12.76 0.987909279321 0.999899288258
12.81 0.988002349948 0.999900855171
12.86 0.988094354337 0.999902391715
12.91 0.988185308647 0.999903898595
12.96 0.988275228734 0.999905376495
13.01 0.988364130158 0.999906826082
13.06 0.988452028186 0.999908248004
13.11 0.988538937804 0.999909642893
13.16 0.988624873718 0.999911011363
13.21 0.988709850364 0.999912354014
13.26 0.988793881913 0.999913671427
13.31 0.988876982274 0.99991496417
13.36 0.988959165104 0.999916232795
13.41 0.989040443811 0.999917477841
13.46 0.98912083156 0.999918699832
13.51 0.989200341277 0.999919899278
13.56 0.989278985658 0.999921076677
13.61 0.989356777168 0.999922232513
13.66 0.989433728051 0.999923367259
13.71 0.989509850333 0.999924481376
13.76 0.989585155825 0.999925575311
13.81 0.989659656131 0.999926649502
13.86 0.989733362649 0.999927704375
13.91 0.989806286577 0.999928740346
13.96 0.989878438917 0.99992975782
14.01 0.98994983048 0.999930757192
14.06 0.990020471886 0.999931738847
14.11 0.990090373575 0.999932703161
14.16 0.990159545804 0.999933650501
14.21 0.990227998653 0.999934581223
14.26 0.990295742031 0.999935495676
14.31 0.990362785677 0.999936394202
14.36 0.990429139163 0.99993727713
14.41 0.990494811899 0.999938144787
14.46 0.990559813136 0.999938997486
14.51 0.990624151969 0.999939835537
14.56 0.990687837339 0.999940659242
14.61 0.990750878038 0.999941468893
14.66 0.990813282711 0.999942264777
14.71 0.990875059859 0.999943047175
14.76 0.990936217842 0.99994381636
14.81 0.990996764881 0.999944572599
14.86 0.991056709061 0.999945316152
14.91 0.991116058337 0.999946047275
14.96 0.991174820531 0.999946766216
15.01 0.991233003337 0.999947473217
15.06 0.991290614325 0.999948168516
15.11 0.991347660942 0.999948852344
15.16 0.991404150514 0.999949524929
15.21 0.991460090249 0.999950186491
15.26 0.99151548724 0.999950837246
15.31 0.991570348465 0.999951477406
15.36 0.991624680791 0.999952107176
15.41 0.991678490976 0.99995272676
15.46 0.991731785671 0.999953336353
15.51 0.99178457142 0.999953936149
15.56 0.991836854665 0.999954526335
15.61 0.991888641748 0.999955107097
15.66 0.991939938909 0.999955678615
15.71 0.991990752292 0.999956241063
15.76 0.992041087945 0.999956794615
15.81 0.992090951821 0.99995733944
15.86 0.992140349784 0.9999578757
15.91 0.992189287603 0.999958403559
15.96 0.992237770962 0.999958923172
16.01 0.992285805454 0.999959434695
16.06 0.992333396591 0.999959938278
16.11 0.992380549797 0.999960434068
16.16 0.992427270415 0.999960922211
16.21 0.992473563708 0.999961402846
16.26 0.992519434857 0.999961876112
16.31 0.992564888967 0.999962342145
16.36 0.992609931065 0.999962801076
16.41 0.992654566104 0.999963253035
16.46 0.992698798962 0.99996369815
16.51 0.992742634444 0.999964136543
16.56 0.992786077284 0.999964568337
16.61 0.992829132147 0.99996499365
16.66 0.992871803627 0.999965412598
16.71 0.992914096252 0.999965825296
16.76 0.992956014483 0.999966231856
16.81 0.992997562716 0.999966632386
16.86 0.993038745282 0.999967026994
16.91 0.993079566449 0.999967415784
16.96 0.993120030425 0.999967798859
17.01 0.993160141354 0.999968176319
17.06 0.993199903323 0.999968548264
17.11 0.993239320358 0.999968914789
17.16 0.993278396429 0.999969275989
17.21 0.993317135448 0.999969631956
17.26 0.993355541271 0.999969982782
17.31 0.993393617701 0.999970328555
17.36 0.993431368485 0.999970669362
17.41 0.993468797318 0.999971005289
17.46 0.993505907842 0.99997133642
